Username,EHB,EHB avg,EHP,EHP avg,Slayer Ability,Tile Score,Manual Score,Weighted Score,Final Score
Rismore Boi,164.1618,4.5849232876712325,428.0093,5.175539178082191,100.0,0.5384615384615384,0.0,4.0
Dr Beanlord,586.836,22.170169863013697,612.4913,16.44236712328767,100.0,1.0,2.0,10.0
Smack Hound,233.7573,7.428591780821917,427.0972,6.744114520547945,82.69848982358664,0.7692307692307693,3.0,7.0
Little Appa,510.5819,1.6450613698630137,925.702,-11.038021917808218,100.0,0.9230769230769231,4.0,8.0
Heyitslachy,413.1411,9.964831780821916,1242.919,21.464293698630133,100.0,0.9230769230769231,1.0,9.0
Cam RS,185.0868,5.532677260273972,1123.028,12.370146849315068,100.0,0.46153846153846156,3.0,9.0
Chainsaw,720.9191,14.505357808219179,1192.8145,16.602726575342466,100.0,0.6923076923076923,1.0,9.0
Pregz,130.402,3.4947490410958904,570.0888,5.877936438356164,100.0,0.46153846153846156,0.0,4.0
Iron Baggss,4.0093,0.1537813698630137,223.3458,4.0902131506849315,50.636226768380254,0.15384615384615385,2.0,4.0
Slasher Nath,408.0712,9.699445479452054,572.4629,8.850473972602739,100.0,0.7692307692307693,1.0,7.0
Smiling Ewe,1233.3274,9.667429589041095,689.6269,3.753852602739726,100.0,0.9230769230769231,0.0,7.0
2 nv,156.3882,4.33871506849315,304.1649,2.692418630136986,80.01571670619974,0.5384615384615384,3.0,6.0
Oz Sanyo,1440.2695,17.261244383561642,836.3044,9.753700273972603,100.0,0.9230769230769231,0.0,9.0
Larry Snow,84.1481,1.8540219178082191,299.2888,1.870541917808219,59.00825144176211,0.23076923076923078,0.0,2.0
Michael Hunt,519.316,13.348259726027395,523.9807,4.577209863013699,100.0,0.9230769230769231,1.0,7.0
Suizy,699.7589,25.853899726027397,735.9071,18.02574410958904,100.0,0.9230769230769231,0.0,9.0
Haydos29,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
Chamwow,183.028,2.3325572602739726,343.5103,2.7527950684931506,53.71757218044958,0.38461538461538464,3.0,6.0
Geof sux 666,1144.9633,14.123433972602738,1062.7309,9.644346849315069,100.0,1.0,0.0,8.0
Porse man,367.0951,7.288476712328766,517.8676,3.116357808219178,100.0,0.7692307692307693,1.0,6.0
Xsweatyboix,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
Georgevork,178.2192,5.915985753424658,297.0146,6.914845479452055,32.218632083376754,0.23076923076923078,4.0,7.0
Say less omw,112.5377,4.294724383561643,248.2118,5.022344657534246,53.76585322698658,0.46153846153846156,2.0,5.0
Dev203,494.4506,10.00782904109589,602.0042,10.410733698630137,100.0,0.6153846153846154,1.0,7.0
Sir Maze,41.8916,0.11009753424657534,256.8615,0.5115254794520547,80.95853667045239,0.15384615384615385,0.0,3.0
Blithering,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
Vlysses,48.1793,1.8479731506849313,267.1211,2.1817906849315065,50.16904636553734,0.23076923076923078,5.0,7.0
Baguettexd,463.9496,14.034236712328767,1079.1476,28.58780438356164,100.0,0.6153846153846154,0.0,9.0
Iron Class,0.0,0.0,93.6955,0.0,4.800686491499002,0.0,7.0,7.0
Jack Steele,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
Mutagen,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
Ren Ya,115.684,2.609059178082192,335.3572,4.455264109589041,100.0,0.5384615384615384,1.0,5.0
Jyeronese,336.8703,12.921052602739724,464.9427,15.165225753424657,100.0,0.46153846153846156,0.0,7.0
KuidaoreTaro,225.6166,4.774939726027397,291.8144,4.455183561643835,64.88832428628984,0.6153846153846154,1.0,4.0
Gib Bonds,162.8403,5.273443287671232,227.7961,2.7120876712328763,54.55449305585165,0.38461538461538464,4.0,7.0
800kg hog,0.0,0.0,137.0481,1.9345199999999998,11.70066936797317,0.0,5.0,6.0
Bow Gun,109.3715,4.195071232876712,416.7051,8.992349589041096,94.98461960805594,0.5384615384615384,3.0,7.0
fastleave461,625.589,6.742925479452054,704.352,5.335929315068492,100.0,0.6923076923076923,2.0,8.0
Wraith os,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
Daaak,0.0,0.0,17.8759,0.0,0.0,0.0,5.0,5.0
Talal,763.173,14.960212054794521,1478.1188,10.04259506849315,100.0,0.9230769230769231,0.0,8.0
R uin,572.8622,1.5134997260273972,821.6578,0.4199846575342466,100.0,1.0,2.0,7.0
Cleanbuchuwu,478.8969,6.637461369863013,635.3115,4.418522739726027,100.0,0.7692307692307693,2.0,7.0
herpes8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
Muppet Cream,75.1361,1.2843369863013696,501.03,2.2362717808219177,100.0,0.3076923076923077,0.0,4.0
Yjoink,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
CanMJ Say It,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
DiedRank 808,7.6555,0.0,489.2392,0.5194,100.0,0.07692307692307693,0.0,3.0
Soulles,168.3197,2.0162531506849315,1140.8055,3.6923331506849313,100.0,0.6153846153846154,0.0,5.0
Aces x3,1076.4639,24.434541369863013,1421.5456,37.4696306849315,100.0,1.0,-3.0,9.0
goojguba,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
saltykale,327.7902,0.4809594520547945,274.5949,0.2425145205479452,51.152577455453184,0.46153846153846156,4.0,6.0
F adwa,1151.5362,17.373900273972602,504.8499,8.309072876712328,24.41957289685595,0.6923076923076923,3.0,9.0
seanothyy,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
VB and Nangs,23.6734,0.33419726027397256,277.074,1.0947884931506848,61.614151100636846,0.15384615384615385,1.0,3.0
IRONmachinez,713.5187,5.330739726027397,915.1867,6.948514520547945,100.0,0.8461538461538461,2.0,8.0
0   s   o,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
Smiddels,801.9212,10.331539726027398,1316.099,5.31881095890411,100.0,0.6923076923076923,1.0,8.0
Solo timbo,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
Raddicus,514.2657,7.3119238356164376,654.7614,3.3512854794520543,100.0,0.9230769230769231,2.0,7.0
